Dootrip,Departure,Capacity,In transit,Transported,Status,Load,Origin,Destination,Arrival,Dootrippers,Additional info
Dootrip #000000012 - from Bad Honnef (Germany) to Kampala (Uganda),2015-07-17T19:30:00,4,0,4,Completed,Full,Germany,Uganda,2015-08-30T19:30:00, Rhein-Ruhr-Hub,Kaplan Jjumba (KSI Bad Honnef)
Dootrip #000000013 - from Jena (Germany) to Luang Prabang (Laos),2015-09-15T12:15:00,4,0,4,Completed,Full,Germany,Laos,2015-09-30T12:15:00, Rhein-Ruhr-Hub,R. Klunker
Dootrip #000000014 - from Oberhausen (Germany) to Nova Friburgo (Brazil),2015-07-21T13:45:00,6,0,6,Completed,Full,Germany,Brazil,2015-08-15T13:45:00, Rhein-Ruhr-Hub,Reisegruppe Kinderdorf Rio e.V. / Hr. A. Weber
Dootrip #000000015 - from Köln (Germany) to Nairobi (Kenya),2015-07-19T14:00:00,20,0,8,Completed,Not full,Germany,Kenya,2015-09-06T14:00:00, Rhein-Ruhr-Hub,"Kamil Barbarski (MAK3it GmbH, Köln) via Hr. Meyer-Berhorn"
Dootrip #000000016 - from Sant Cugat del Vallès (Spain) to Kuwonku (Gambia),2015-07-04T08:00:00,1,0,1,Completed,Full,Spain,Gambia,2015-07-06T18:00:00, Monicavh,ONG Kuwonku
Dootrip #000000017 - from Düsseldorf (Germany) to Sokodé (Togo),2015-07-21T09:00:00,5,0,5,Completed,Full,Germany,Togo,2015-08-31T09:00:00, Rhein-Ruhr-Hub,Aurore e.V. (Delegation)
Dootrip #000000018 - from Mülheim an der Ruhr (Germany) to Kinshasa (Congo (Kinshasa)),2015-07-22T13:00:00,6,0,6,Completed,Full,Germany,Congo (Kinshasa),2015-08-14T13:00:00, Rhein-Ruhr-Hub,Hr. Malungu
Dootrip #000000019 - from Germany to Luang Prabang (Thailand),2015-07-13T22:15:00,2,0,2,Completed,Full,Germany,Thailand,2015-08-13T22:15:00, lisabell,
Dootrip #000000020 - from Duisburg (Germany) to Witbank (South Africa),2015-09-18T08:15:00,8,0,12,Completed,Full,Germany,South Africa,2015-10-20T08:15:00, Rhein-Ruhr-Hub,A. Ürker + SchülerInnen
Dootrip #000000021 - from Schwetzingen (Germany) to Gaza (Palestinian Territory),2015-07-31T11:30:00,34,0,34,Cancelled,Full,Germany,Palestinian Territory,2016-03-31T12:30:00, Rhein-Ruhr-Hub,Lufthansa Cargo / Aktion Europa hilft e.V.
Dootrip #000000022 - from Bottrop (Germany) to Bosanska Otoka (Bosnia and Herzegovina),2015-08-24T11:15:00,60,0,58,Completed,Not full,Germany,Bosnia and Herzegovina,2015-09-15T11:15:00, Rhein-Ruhr-Hub,Austausch-Schulklasse (Leben und Lernen in Bosnien e.V.)
Dootrip #000000023 - from Lelystad (Netherlands) to Kampala (Uganda),2015-08-24T14:15:00,3,0,1,Completed,Not full,Netherlands,Uganda,2015-09-15T14:15:00, Rhein-Ruhr-Hub freddiemukuza,
Dootrip #000000024 - from Ibiza (Spain) to Bangkok (Thailand),2015-09-03T10:00:00,6,0,0,Completed,Not full,Spain,Thailand,2015-09-04T10:00:00, conradoraimundo,
Dootrip #000000025 - from Bonn (Germany) to Tiflis (Georgia),2015-08-13T11:30:00,4,0,5,Completed,Full,Germany,Georgia,2015-08-31T11:30:00, Rhein-Ruhr-Hub Bonn-Hub,Dr. Lange
Dootrip #000000026 - from München (Germany) to Mandalay (Myanmar),2015-08-15T11:15:00,5,0,4,Completed,Not full,Germany,Myanmar,2015-08-17T11:15:00, Rhein-Ruhr-Hub Tina Meier,Gruppe via Tina Meier (Hub Hamburg)
Dootrip #000000027 - from Grünwald (Germany) to Mandalay (Myanmar),2015-08-31T11:15:00,3,0,0,Completed,Not full,Germany,Myanmar,2015-09-03T11:15:00, Rhein-Ruhr-Hub Tina Meier,Gruppe via Tina Meier (Hub Hamburg)
Dootrip #000000028 - from Augsburg (Germany) to Selnica (Croatia),2015-08-28T12:15:00,8,0,8,Completed,Full,Germany,Croatia,2015-09-15T12:15:00, Rhein-Ruhr-Hub,Hr. Posavec
Dootrip #000000029 - from Köln (Germany) to Dar es Salaam (Tanzania),2015-09-01T15:30:00,2,0,2,Completed,Full,Germany,Tanzania,2015-09-30T15:30:00, Rhein-Ruhr-Hub,via Hr. Niessen
Dootrip #000000030 - from Dortmund (Germany) to Dar es Salaam (Tanzania),2015-09-02T07:30:00,2,0,2,Completed,Full,Germany,Tanzania,2015-09-30T07:30:00, Rhein-Ruhr-Hub,L. Binkenstein (via Hr. Uphaus)
Dootrip #000000031 - from Mülheim an der Ruhr (Germany) to Zinguinchor (Senegal),2015-08-15T18:00:00,6,0,6,Completed,Full,Germany,Senegal,2015-08-30T18:00:00, Rhein-Ruhr-Hub,Hr. Malungu
Dootrip #000000032 - from Berlin (Germany) to Laos,2015-09-08T16:15:00,2,0,2,Completed,Full,Germany,Laos,2015-09-08T16:15:00, lisabell,
Dootrip #000000033 - from Wuppertal (Germany) to Nairobi (Kenya),2015-09-01T09:45:00,2,0,2,Completed,Full,Germany,Kenya,2015-09-30T09:45:00, Rhein-Ruhr-Hub,P. Kletzka
Dootrip #000000034 - from Essen (Germany) to Tirana (Albania),2015-10-01T11:45:00,4,0,4,Completed,Full,Germany,Albania,2015-10-31T12:45:00, Rhein-Ruhr-Hub,A. Shehu
Dootrip #000000035 - from Vechta (Germany) to Lusaka (Zambia),2015-10-08T10:45:00,52,0,52,Completed,Full,Germany,Zambia,2015-12-31T11:45:00, Rhein-Ruhr-Hub,via Hr. Juda und Nonne aus Kloster Lusaka
Dootrip #000000036 - from Kreuzau (Germany) to Dar es Salaam (Tanzania),2015-10-04T18:15:00,2,0,2,Completed,Full,Germany,Tanzania,2015-10-31T19:15:00, Rhein-Ruhr-Hub,S. Dick
Dootrip #000000037 - from Neuss - Norf (Germany) to Kyengere (Uganda),2015-09-13T06:30:00,4,0,4,Completed,Full,Germany,Uganda,2015-09-30T06:30:00, Rhein-Ruhr-Hub,Rev. Musoke Genza
Dootrip #000000038 - from Neuss (Germany) to Stonetown (Tanzania),2015-09-18T06:30:00,1,0,1,Completed,Full,Germany,Tanzania,2015-09-30T06:30:00, Rhein-Ruhr-Hub,Hr. Woitschützke
Dootrip #000000039 - from Köln (Germany) to Dar es Salaam (Tanzania),2015-10-01T16:30:00,1,0,1,Completed,Full,Germany,Tanzania,2015-10-15T16:30:00, Rhein-Ruhr-Hub,U. Hankel
Dootrip #000000040 - from Vechta (Germany) to Mongu (Zambia),2015-10-08T10:30:00,18,0,18,Completed,Full,Germany,Zambia,2015-12-31T11:30:00, Rhein-Ruhr-Hub,via Hr. Juda und Nonne aus Kloster Lusaka (Weiterleitung nach Mongu)
Dootrip #000000041 - from Nürnberg (Germany) to Moshi (Tanzania),2015-09-29T08:00:00,1,0,1,Completed,Full,Germany,Tanzania,2015-10-17T08:00:00, Rhein-Ruhr-Hub,Th. Harraßer
Dootrip #000000042 - from Langenburg (Germany) to Mtwara (Tanzania),2015-10-10T17:15:00,4,0,4,Completed,Full,Germany,Tanzania,2015-10-30T18:15:00, Rhein-Ruhr-Hub,Hr. Dittrich
Dootrip #000000043 - from Vechta (Germany) to Kabwe (Zambia),2015-10-08T10:30:00,8,0,8,Completed,Full,Germany,Zambia,2015-12-31T11:30:00, Rhein-Ruhr-Hub,via Hr. Juda und Nonne aus Kloster Lusaka (Weiterleitung nach BOCCS)
Dootrip #000000044 - from Vechta (Germany) to Choma (Zambia),2015-10-08T10:30:00,6,0,6,Completed,Full,Germany,Zambia,2015-12-31T11:30:00, Rhein-Ruhr-Hub,via Hr. Juda und Nonne aus Kloster Lusaka (Weiterleitung nach NJASE COMPUTER LAB)
Dootrip #000000045 - from Hamburg (Germany) to Mandalay (Myanmar),2015-10-16T08:30:00,2,0,2,Completed,Full,Germany,Myanmar,2015-11-16T09:30:00, Rhein-Ruhr-Hub Tina Meier,Dr. Hasche
Dootrip #000000046 - from Mainz (Germany) to Choma (Zambia),2015-11-15T19:00:00,12,0,12,Completed,Full,Germany,Zambia,2015-12-06T19:00:00, Rhein-Ruhr-Hub,Hr. Rehberger
Dootrip #000000047 - from Bottrop (Germany) to Velika Kladusa (Bosnia and Herzegovina),2015-11-07T10:45:00,21,0,21,Completed,Full,Germany,Bosnia and Herzegovina,2015-12-07T10:45:00, Rhein-Ruhr-Hub,Leben und Lernen in Bosnien e.V.
Dootrip #000000048 - from Dortmund (Germany) to Meanchey (Cambodia),2015-10-12T12:00:00,2,0,2,Completed,Full,Germany,Cambodia,2015-11-08T13:00:00, Rhein-Ruhr-Hub,A. Scheer
Dootrip #000000049 - from Mühldorf (Germany) to Santa Maria (Cape Verde),2015-11-24T13:45:00,2,0,2,Completed,Full,Germany,Cape Verde,2015-12-15T13:45:00, Rhein-Ruhr-Hub,V. Renken
Dootrip #000000050 - from Brüssel (Belgium) to Kinshasa (Congo (Kinshasa)),2015-10-13T17:15:00,3,0,3,Completed,Full,Belgium,Congo (Kinshasa),2015-10-31T18:15:00, Rhein-Ruhr-Hub,Dr. Kawata
Dootrip #000000051 - from Nienburg (Germany) to Santa Maria (Cape Verde),2015-10-26T12:45:00,4,0,4,Completed,Full,Germany,Cape Verde,2015-11-10T12:45:00, Rhein-Ruhr-Hub,M. Kruska
Dootrip #000000052 - from Barcelona (Spain) to Lliça de vall (Spain),2015-10-02T06:15:00,4,0,4,Completed,Full,Spain,Spain,2015-10-02T07:00:00, jordi,
Dootrip #000000053 - from Barcelona (Spain) to New York City (United States),2015-10-05T10:30:00,3,0,3,Completed,Full,Spain,United States,2015-10-05T16:30:00, jordi,
Dootrip #000000054 - from New York (United States) to Austin (United States),2015-11-12T11:45:00,3,0,0,Completed,Not full,United States,United States,2015-11-12T15:45:00, jordi,
Dootrip #000000055 - from Bottrop (Germany) to Bosanska Krupa (Bosnia and Herzegovina),2015-11-30T14:45:00,11,0,11,Completed,Full,Germany,Bosnia and Herzegovina,2015-12-13T14:45:00, Rhein-Ruhr-Hub,Leben und Lernen in Bosnien e.V.
Dootrip #000000056 - from Mülheim an der Ruhr (Germany) to Kinshasa (Congo (Kinshasa)),2015-10-16T14:30:00,5,0,5,Completed,Full,Germany,Congo (Kinshasa),2015-10-31T15:30:00, Rhein-Ruhr-Hub,Hr. Malungu
Dootrip #000000057 - from Bottrop (Germany) to Bihac (Bosnia and Herzegovina),2015-11-30T10:45:00,31,0,31,Completed,Full,Germany,Bosnia and Herzegovina,2015-12-13T10:45:00, Rhein-Ruhr-Hub,Leben und Lernen in Bosnien e.V.
Dootrip #000000058 - from Essen Kettwig (Germany) to Dobryn (Belarus),2015-11-18T19:00:00,50,0,0,Completed,Not full,Germany,Belarus,2015-12-13T19:00:00, Rhein-Ruhr-Hub,"Hr. Flör, Tschernobyl Hilfe e.V. Mülheim"
Dootrip #000000059 - from Dresden (Germany) to Mpigi Town  (Uganda),2016-01-31T14:30:00,2,0,2,Completed,Full,Germany,Uganda,2016-02-15T14:30:00, Rhein-Ruhr-Hub,J. Höntsch
Dootrip #000000060 - from Mülheim an der Ruhr (Germany) to Makambako (Tanzania),2015-10-23T17:30:00,3,0,3,Completed,Full,Germany,Tanzania,2015-10-31T18:30:00, Rhein-Ruhr-Hub,S. Flecken
Dootrip #000000061 - from Oldenburg (Germany) to Kpalime (Togo),2015-11-06T19:45:00,3,0,3,Completed,Full,Germany,Togo,2015-11-30T19:45:00, Rhein-Ruhr-Hub Bremen-Hub,K. von den Driesch
Dootrip #000000062 - from Weiterstadt (Germany) to Fessa (Ethiopia),2015-11-09T14:45:00,7,0,7,Completed,Full,Germany,Ethiopia,2015-11-30T14:45:00, Rhein-Ruhr-Hub Dawit Mehari,D. Mehari
Dootrip #000000063 - from Hamburg (Germany) to Santa Maria (Cape Verde),2015-10-31T05:30:00,1,0,1,Completed,Full,Germany,Cape Verde,2015-11-15T05:30:00, Rhein-Ruhr-Hub,U. Popp-Liebsch
Dootrip #000000064 - from Langenburg (Germany) to Mtwara (Tanzania),2015-12-09T18:15:00,16,0,16,Completed,Full,Germany,Tanzania,2015-12-31T18:15:00, Rhein-Ruhr-Hub,Hr. Dittrich
Dootrip #000000065 - from Hörlkofen (Germany) to Santa Maria (Cape Verde),2015-11-06T08:00:00,1,0,1,Completed,Full,Germany,Cape Verde,2015-11-30T08:00:00, Rhein-Ruhr-Hub,A. Mock
Dootrip #000000066 - from Berlin (Germany) to Mitume (Kenya),2015-11-06T18:00:00,15,0,10,Completed,Not full,Germany,Kenya,2015-11-30T18:00:00, Rhein-Ruhr-Hub lisabell,Leapfrog e.V.
Dootrip #000000067 - from Berlin (Germany) to Donyo-Sabuk at Thika (Kenya),2015-11-06T18:00:00,15,0,5,Completed,Not full,Germany,Kenya,2016-02-06T18:00:00, Rhein-Ruhr-Hub lisabell,Leapfrog e.V.
Dootrip #000000068 - from Weiden (Germany) to Santa Maria (Cape Verde),2015-11-25T19:15:00,2,0,1,Completed,Not full,Germany,Cape Verde,2015-12-15T19:15:00, Rhein-Ruhr-Hub,B. Melzner
Dootrip #000000069 - from Salzburg (Austria) to arusha (Tanzania),2015-11-15T08:30:00,4,0,4,Completed,Full,Austria,Tanzania,2015-11-16T20:30:00, Frank,"I fill this form for: Hertha Schwaighofer who intents to transport one or two Laptop 15 Nov. the other two or three are at Home in Warthelstainstr Austria, until some memeber of Tanzania Center (Tanzen) will bring them as well to Arusha Engilanget School"
Dootrip #000000070 - from Essen (Germany) to Zhodino (Belarus),2015-11-19T12:30:00,10,0,10,Completed,Full,Germany,Belarus,2015-12-15T12:30:00, Rhein-Ruhr-Hub,Lkw Transport Tschernobyl Hilfe eV
Dootrip #000000071 - from Stuttgart (Germany) to Santa Maria (Cape Verde),2015-12-01T19:30:00,2,0,2,Completed,Full,Germany,Cape Verde,2015-12-13T19:30:00, Rhein-Ruhr-Hub,Hr. Ellenberger
Dootrip #000000072 - from Neubiberg (Germany) to Santa Maria (Cape Verde),2015-12-09T18:15:00,2,0,2,Completed,Full,Germany,Cape Verde,2015-12-20T18:15:00, Rhein-Ruhr-Hub,Fam. Sedlmayer
Dootrip #000000073 - from Minden (Germany) to Ville d'Aru (Congo (Kinshasa)),2016-02-06T09:00:00,4,0,4,Completed,Full,Germany,Congo (Kinshasa),2016-02-29T09:00:00, Rhein-Ruhr-Hub,S. Lillwitz
Dootrip #000000074 - from Krefeld (Germany) to Santa Maria (Cape Verde),2015-12-16T10:45:00,2,0,0,Completed,Not full,Germany,Cape Verde,2015-12-17T10:45:00, Rhein-Ruhr-Hub,Hr. Hendrix
Dootrip #000000075 - from Mülheim an der Ruhr (Germany) to Makambako (Tanzania),2015-12-15T08:45:00,3,0,3,Completed,Full,Germany,Tanzania,2015-12-16T08:45:00, Rhein-Ruhr-Hub,Rev. Bruno Henjevele
Dootrip #000000076 - from Wachau (Germany) to Begoro (Ghana),2015-12-23T07:30:00,5,0,5,Completed,Full,Germany,Ghana,2015-12-22T07:30:00, Rhein-Ruhr-Hub,R. Wolf
Dootrip #000000077 - from Nettetal (Germany) to Moshi (Tanzania),2015-12-07T19:15:00,1,0,1,Completed,Full,Germany,Tanzania,2015-12-08T19:15:00, Rhein-Ruhr-Hub,Hr. Blum
Dootrip #000000078 - from Luxemburg (Luxembourg) to Moshi (Tanzania),2015-12-15T19:15:00,5,0,5,Completed,Full,Luxembourg,Tanzania,2015-12-16T19:15:00, Rhein-Ruhr-Hub,via KIVINET
Dootrip #000000001 - from Bubesheim (Germany) to Dar es Salaam (Tanzania),2015-12-13T16:45:00,1,0,1,Completed,Full,Germany,Tanzania,2015-12-14T15:00:00, Rhein-Ruhr-Hub,Mr. D. Bäurle
Dootrip #000000080 - from Essen (Germany) to Tirana (Albania),2015-12-22T12:45:00,3,0,3,Completed,Full,Germany,Albania,2015-12-22T12:45:00, Rhein-Ruhr-Hub,A. Shehu
Dootrip #000000082 - from Bonn (Germany) to Lusaka (Zambia),2015-12-31T17:30:00,30,0,30,Completed,Full,Germany,Zambia,2016-01-15T17:30:00, Bonn-Hub Rhein-Ruhr-Hub,Versand via Labdoo Hub Bonn
Dootrip #000000083 - from Bonn (Germany) to Lusaka (Zambia),2015-12-21T11:45:00,20,0,0,Completed,Not full,Germany,Zambia,2016-01-07T11:45:00, Rhein-Ruhr-Hub Bonn-Hub,Versand DHL
Dootrip #000000084 - from Bonn (Germany) to Kampala (Uganda),2016-01-15T15:00:00,20,0,10,Completed,Not full,Germany,Uganda,2016-01-31T15:00:00, Rhein-Ruhr-Hub Bonn-Hub,Versand DHL
Dootrip #000000085 - from Mühlhausen (Germany) to Moshi (Tanzania),2016-01-01T09:30:00,1,0,1,Completed,Full,Germany,Tanzania,2016-01-07T09:30:00, Rhein-Ruhr-Hub,Th. Schuhmacher
Dootrip #000000086 - from Stuttgart (Germany) to Ville d'Aru  (Congo (Kinshasa)),2016-01-19T11:30:00,1,0,1,Completed,Full,Germany,Congo (Kinshasa),2016-01-20T11:30:00, Rhein-Ruhr-Hub,H.-P. Geiselhardt
Dootrip #000000081 - from Mülheim an der Ruhr (Germany) to Essen (Germany),2015-12-20T10:30:00,3,0,0,Completed,Not full,Germany,Germany,2016-07-31T10:30:00, Rhein-Ruhr-Hub,Philip (Freifunk Rheinland e.V.)
Dootrip #000000087 - from Köln (Germany) to Quito (Ecuador),2016-01-06T16:15:00,3,0,3,Completed,Full,Germany,Ecuador,2016-01-31T16:15:00, Rhein-Ruhr-Hub,J. Hilden
Dootrip #000000088 - from Windeck (Germany) to Chile,2016-01-31T16:30:00,3,0,2,Completed,Not full,Germany,Chile,2016-02-13T16:30:00, Rhein-Ruhr-Hub,Hr. Juda
Dootrip #000000089 - from Langenfeld (Germany) to Fürstenfeldbruck (Germany),2016-02-12T14:30:00,15,0,15,Completed,Full,Germany,Germany,2016-02-13T14:30:00, Rhein-Ruhr-Hub,Hr. Schmitt
"Dootrip #000000090 - from Bonn (Germany) to Stone Town, Zanzibar (Tanzania)",2016-01-19T14:00:00,1,0,1,Completed,Full,Germany,Tanzania,2016-01-20T08:00:00, M_Schloesser,M. Schlösser
Dootrip #000000091 - from Duisburg (Germany) to Moree (Ghana),2016-01-22T08:45:00,6,0,6,Completed,Full,Germany,Ghana,2016-01-23T08:45:00, Rhein-Ruhr-Hub,SchülerInnen des Hildegardis Gymnasiums Duisburg
Dootrip #000000092 - from Bad Reichenhall (Germany) to Margibi (Liberia),2016-01-18T15:15:00,4,0,3,Completed,Not full,Germany,Liberia,2016-01-19T15:15:00, Rhein-Ruhr-Hub,Hr. Zagel
Dootrip #000000093 - from Bad Reichenhall (Germany) to Margibi (Liberia),2016-01-21T15:15:00,28,0,27,Completed,Not full,Germany,Liberia,2016-04-30T15:15:00, Rhein-Ruhr-Hub igor Frank,Hr. Zagel
Dootrip #000000094 - from Salzburg (Austria) to Phulkharka (Nepal),2016-01-10T17:30:00,1,0,1,Completed,Full,Austria,Nepal,2016-09-10T17:30:00, Frank,"Traveler Projekterantwortliche von Ruefa, Reisende von Herr Hans Huber, Filialleiter Ruefa Zell am See, erster Laptop ist in Nepal gut angekommen."
Dootrip #000000095 - from Siegen (Germany) to Usakos (Namibia),2016-02-24T15:30:00,3,0,3,Completed,Full,Germany,Namibia,2016-02-25T15:30:00, Rhein-Ruhr-Hub,Hr. Weigel
Dootrip #000000096 - from Meschede (Germany) to Sanyany (Gambia),2016-03-12T19:00:00,3,0,3,Completed,Full,Germany,Gambia,2016-03-14T19:00:00, Rhein-Ruhr-Hub,Reisegruppe KiGa Meschede eV
Dootrip #000000097 - from Reinbek (Germany) to Sal Rei (Cape Verde),2016-02-13T19:45:00,2,0,0,Completed,Not full,Germany,Cape Verde,2016-02-14T19:45:00, Rhein-Ruhr-Hub,Uli via Franca (Boabab Tours)
Dootrip #000000098 - from Bottrop (Germany) to Cazin (Bosnia and Herzegovina),2016-05-15T19:45:00,30,0,30,Completed,Full,Germany,Bosnia and Herzegovina,2016-05-31T19:45:00, Rhein-Ruhr-Hub,Transport von Leben und Lernen in Bosnien eV
Dootrip #000000099 - from Hainburg (Germany) to Bamako (Mali),2016-01-29T20:15:00,4,0,4,Completed,Full,Germany,Mali,2016-01-30T20:15:00, Rhein-Ruhr-Hub,C. Njonmou Mobile Solarkraftwerke Afrika
Dootrip #000000100 - from Kassel (Germany) to Santiago de Chile (Chile),2016-01-28T21:30:00,1,0,1,Completed,Full,Germany,Chile,2016-01-29T21:30:00, Rhein-Ruhr-Hub,P. Hübner
Dootrip #000000101 - from Mülheim an der Ruhr (Germany) to Senegal,2016-01-23T10:45:00,4,0,4,Completed,Full,Germany,Senegal,2016-01-24T10:45:00, Rhein-Ruhr-Hub,Hr. Malungu
Dootrip #000000102 - from Mülheim an der Ruhr (Germany) to Kinshasa (Congo (Kinshasa)),2016-01-23T10:45:00,7,0,7,Completed,Full,Germany,Congo (Kinshasa),2016-01-24T10:45:00, Rhein-Ruhr-Hub,Hr. Malungu
Dootrip #000000103 - from Xanten (Germany) to Moshi (Tanzania),2016-02-01T11:30:00,1,0,1,Completed,Full,Germany,Tanzania,2016-02-02T11:30:00, Rhein-Ruhr-Hub,J. Hussmann
Dootrip #000000104 - from Marktoberdorf (Germany) to Cairo (Egypt),2016-02-05T13:30:00,15,0,15,Completed,Full,Germany,Egypt,2016-02-06T13:30:00, Rhein-Ruhr-Hub,Hr. Claeys und Reisegruppe (15 Personen)
Dootrip #000000105 - from Hamburg (Germany) to Stonetown (Tanzania),2016-02-08T15:30:00,1,0,1,Completed,Full,Germany,Tanzania,2016-02-09T05:30:00, Rhein-Ruhr-Hub,Sh. Schanzenbach
Dootrip #000000106 - from Köln (Germany) to Moshi (Tanzania),2016-02-21T20:00:00,1,0,1,Completed,Full,Germany,Tanzania,2016-02-21T20:00:00, Rhein-Ruhr-Hub,J. Perl (via Hr. Harraßer)
Dootrip #000000107 - from Aachen (Germany) to Quillacollo (Bolivia),2016-04-03T06:30:00,4,0,3,Completed,Not full,Germany,Bolivia,2016-04-04T06:30:00, Rhein-Ruhr-Hub,S. Borghardt und IoG-Gruppe
Dootrip #000000108 - from Wachau (Germany) to Koforidua (Ghana),2016-02-07T07:30:00,3,0,3,Completed,Full,Germany,Ghana,2016-02-08T07:30:00, Rhein-Ruhr-Hub,R. Wolf
Dootrip #000000109 - from Frankfurt Main (Germany) to Cali (Colombia),2016-01-29T13:30:00,3,0,3,Completed,Full,Germany,Colombia,2016-01-30T18:30:00, Rhein-Ruhr-Hub,U. Schuch
Dootrip #000000110 - from Püttlingen (Germany) to Merzouga (Morocco),2016-02-25T16:00:00,4,0,4,Completed,Full,Germany,Morocco,2016-02-26T16:00:00, Rhein-Ruhr-Hub,J. Majoli
Dootrip #000000111 - from Neukirchen-Vluyn (Germany) to Ouarzazate (Morocco),2016-02-28T09:15:00,29,0,29,Completed,Full,Germany,Morocco,2016-03-13T09:15:00, Rhein-Ruhr-Hub,Truck Rallye Marokko
Dootrip #000000112 - from Wachtberg (Germany) to Moshi (Tanzania),2016-02-13T17:00:00,1,0,1,Completed,Full,Germany,Tanzania,2016-02-14T17:00:00, Rhein-Ruhr-Hub,J. Wagner
Dootrip #000000113 - from Mönchengladbach (Germany) to Moshi (Tanzania),2016-02-13T18:00:00,1,0,1,Completed,Full,Germany,Tanzania,2016-02-14T06:45:00, Rhein-Ruhr-Hub,Fam. Mund
Dootrip #000000114 - from Elmshorn (Germany) to St. Louis (Senegal),2016-03-12T17:30:00,20,0,0,Completed,Not full,Germany,Senegal,2017-08-20T17:30:00, Tina Meier Erich Kaestner,Schülergruppe der Erich Kästner Gemeinschaftsschule Elmshorn
Dootrip #000000116 - from Barcelona (Spain) to New York (United States),2016-02-01T13:00:00,4,0,4,Completed,Full,Spain,United States,2016-02-01T16:15:00, jordi,
Dootrip #000000117 - from Bremen (Germany) to Mombasa (Kenya),2016-09-30T19:00:00,2,0,2,Completed,Full,Germany,Kenya,2016-09-30T19:00:00, Rhein-Ruhr-Hub Bremen-Hub,S. von Essen
Dootrip #000000118 - from Bonn (Germany) to Lagos (Nigeria),2016-03-19T07:45:00,16,0,16,Completed,Full,Germany,Nigeria,2016-03-20T07:45:00, Bonn-Hub,"director at  the department of Climate Change, Federal Ministry of Environment, Nigeria and delegation of Nigeria"
Dootrip #000000119 - from Bottrop (Germany) to Petrovac (Bosnia and Herzegovina),2016-05-06T18:00:00,60,0,60,Completed,Full,Germany,Bosnia and Herzegovina,2016-05-31T15:00:00, Rhein-Ruhr-Hub,Transport von Leben und Lernen in Bosnien eV
Dootrip #000000120 - from Essenheim (Germany) to Kibondo (Tanzania),2016-03-24T07:15:00,5,0,5,Completed,Full,Germany,Tanzania,2016-03-25T07:15:00, Rhein-Ruhr-Hub,S. Parsuhn
Dootrip #000000121 - from München (Germany) to Kagera (Tanzania),2016-03-09T15:15:00,2,0,2,Completed,Full,Germany,Tanzania,2016-03-10T15:15:00, Rhein-Ruhr-Hub,C. Mulokozi
Dootrip #000000122 - from Landsham (Germany) to Kalanki Lagankhel (Nepal),2016-03-08T08:00:00,2,0,2,Completed,Full,Germany,Nepal,2016-03-10T08:00:00, Rhein-Ruhr-Hub,I. Schultheiß
