,Hub,Needed (N),Remaining (R = N-T-D),% Completed,Country,Semaphore,Needed,In transit (T),Delivered (D),Remaining (R = N-T-D).1,Longitude,Latitude
186,"Switzerland | St. Gallen | GESCHLOSSEN: Annahmestelle 9001 St. Gallen (SG), Bahnhof",0,0,0,Switzerland,closed,0,0,0,0,9.3762397,47.425618
187,Switzerland | Uhwiesen | GESCHLOSSEN: Annahmestelle 8248 Uhwiesen (ZH),0,0,0,Switzerland,closed,0,0,0,0,8.6350982,47.6709937
188,Spain | Barcelona | Escola Monlau ,30,0,100,Spain,closed,25,2,87,0,2.177073,41.3825802
189,Spain | Ourense | Labdoo School Hub Ourense - CIFP A Carballeira-Márcos Valcarcel,15,8,46,Spain,open,15,2,5,8,-7.537124,42.1939629
190,United States | Middlebury | Middlebury College Laptop Hub,0,0,0,United States,open,0,0,0,0,-73.167229,44.014299
191,Spain | Sant Cugat del Vallès | Labdoo City Hub Sant Cugat ,2876,1424,50,Spain,open,2202,341,1111,750,2.0817809,41.4728432
192,Switzerland | Pfäffikon | Annahmestelle 8808 Pfäffikon (SZ),0,0,0,Switzerland,open,0,0,0,0,8.7819841,47.365582
193,United Kingdom | Oxford | Labdoo Hub Oxford,153,117,23,United Kingdom,inactive,103,2,34,67,-1.2578499,51.7520131
194,United States | Irvine | WeServe Leadership Program,30,27,10,United States,closed,15,0,3,12,-117.825981,33.6856969
195,Spain | Madrid | Labdoo School Hub Madrid - IES Arquitecto Ventura Rodríguez,16,0,100,Spain,open,16,0,30,0,-3.703507,40.416782
196,Spain | Badajoz | IES Castelar (Badajoz),0,0,0,Spain,open,0,0,0,0,-6.9701115,38.878187
197,Switzerland | Oberwil-Lieli | ZENTRALLAGER und Aufbereitungsstelle: 8966 Oberwil-Lieli (AG),0,0,0,Switzerland,open,0,0,0,0,8.3843501,47.3338992
198,United Kingdom | Hemingford Grey | Labdoo Hub Cambridge,0,0,0,United Kingdom,inactive,0,0,0,0,-0.1006425,52.306201
199,Switzerland | Hittnau | Annahmestelle 8335 Hittnau (ZH),0,0,0,Switzerland,open,0,0,0,0,8.8233708,47.3682799
200,Spain | Vilanova i la Geltru | Labdoo School Hub Vilanova - Institut Municipal d'Educació i Treball (IMET),0,0,0,Spain,open,0,0,1,0,1.7256327,41.2241992
201,Spain | Bilbao | CIFP Elorrieta Erreka Mari,0,0,0,Spain,inactive,0,0,0,0,-2.9350039,43.2630018
202,Romania | Santana | Romania Santana Liceul Technologie 'Stefan Hell',0,0,0,Romania,open,0,0,0,0,-44.05064,-12.979217
203,Mongolia | Ulaanbaatar | Labdoo Hub Ulaanbaatar,55,24,56,Mongolia,open,55,0,31,24,106.9177016,47.9184676
204,Spain | Cerdanyola del Vallès  | Labdoo School Hub Cerdanyola - FEDAC ,0,0,0,Spain,closed,0,0,0,0,2.1374969,41.4910324
205,Spain | Leon | Labdoo Dropping Point Leon España,0,0,0,Spain,open,0,0,1,0,-95.9953382,31.2715127
206,Germany | München | Labdoo Annahmestelle 81245 München: Pasing,9,0,100,Germany,open,9,23,311,0,11.5753822,48.1371079
207,Switzerland | Renens | GESCHLOSSEN/FERME: Annahmestelle 1020 Renens (VD),0,0,0,Switzerland,closed,0,0,0,0,6.5928442,46.5349093
208,Germany | Bochum | Labdoo Annahmestelle 44799 Bochum: Center for Advanced Internet Studies (CAIS) gGmbH,0,0,0,Germany,open,0,4,19,0,7.2196635,51.4818111
209,Spain | Vilafranca del Penedès | Labdoo School Hub Vilafranca - Institut Alt Penedès,142,0,100,Spain,open,71,2,155,0,1.6995213,41.3463825
210,Spain | Tegueste | Labdoo Hub Canary Islands - Tegueste,0,0,0,Spain,open,0,0,0,0,-16.3407638,28.5232609
211,Spain | Badalona | Labdoo Hub Badalona - Plaça de Carme Guasch,0,0,0,Spain,inactive,0,0,0,0,2.248254,41.4493539
212,Germany | Bremen | Labdoo Annahmestelle 28215 Bremen Findorff (Ajimba African Tours) ,0,0,0,Germany,open,0,0,7,0,8.8071646,53.0758196
213,United States | San Jose | Labdoo Hub Sewa Bay Area,50,36,28,United States,inactive,50,0,14,36,-121.890591,37.3361663
214,Switzerland | Arisdorf | GESCHLOSSEN: Annahmestelle 4422 Arisdorf (BL),0,0,0,Switzerland,closed,0,0,0,0,7.7654983,47.5123916
215,Switzerland | Gwatt/Thun | GESCHLOSSEN: Annahmestelle 3645 Gwatt/Thun (BE),0,0,0,Switzerland,closed,0,0,0,0,7.6201429,46.7254458
216,Switzerland | Staad/Thal | GESCHLOSSEN: Annahmestelle 9422 Staad/Thal (SG),0,0,0,Switzerland,closed,0,0,0,0,9.5368455,47.4802989
217,Romania | Saniob | Romania Oradea - Saniob,0,0,0,Romania,open,0,0,0,0,22.1301322,47.2628461
218,United Kingdom | Brighton  | Revive: University of Sussex Enactus Hub,25,13,48,United Kingdom,inactive,12,0,12,0,-0.1400561,50.8214626
219,Spain | Barcelona | Labdoo School Hub Barcelona - Institut Joan d'Àustria,4,0,100,Spain,open,4,0,4,0,2.177073,41.3825802
220,Switzerland | Rüschlikon | Annahmestelle 8803 Rüschlikon (ZH),0,0,0,Switzerland,open,0,0,0,0,8.5546421,47.307465
221,"Switzerland | Zürich | Annahmestelle 8048 Zürich (ZH), Altstetten",0,0,0,Switzerland,open,0,0,0,0,8.5410422,47.3744489
222,United States | Long Island City | Labdoo Hub Long Island City - New York,0,0,0,United States,closed,0,0,0,0,-73.9484995,40.7455316
223,Spain | Antequera | IES. Los Colegiales. Antequera.,0,0,0,Spain,open,0,0,0,0,-4.5596649,37.0183652
224,Germany | München | Labdoo Annahmestelle 80796 München: Schwabing-West,126,0,100,Germany,open,78,1,217,0,11.5753822,48.1371079
225,Spain | Gelida | Labdoo School Hub Gelida - Institut Gelida,0,0,0,Spain,open,0,0,0,0,1.8634309,41.4408877
226,Germany | Kassel | Labdoo Annahmestelle 34134 Kassel (Hub),42,0,100,Germany,open,34,1,96,0,9.4978479,51.3157833
227,Germany | Stade | Labdoo Annahmestelle 21680 Stade (Hub),198,0,100,Germany,open,80,125,348,0,9.475438,53.599794
228,Spain | Cubelles | Labdoo City Hub Cubelles - Deixalleria,0,0,0,Spain,inactive,0,0,2,0,1.6730541,41.2083363
229,Spain | Cubelles | Labdoo City Hub Cubelles - Biblioteca Municipal Mn Joan Avinyo i Andreu de Cubelles,0,0,0,Spain,open,0,0,2,0,1.6730541,41.2083363
230,Spain | Cubelles | Labdoo City Hub Cubelles - Centre Social Ajuntament de Cubelles,1,0,100,Spain,open,1,0,10,0,1.6730541,41.2083363
231,Spain | Girona | Labdoo Hub Girona - Avgda Lluís Pericot,160,30,81,Spain,open,152,15,115,22,2.8199439,41.9793006
232,Spain | Granollers | Labdoo School Hub Granollers - Escola Pia,20,18,10,Spain,open,10,0,2,8,2.2876008,41.6079555
233,United Kingdom | Sittingbourne | Labdoo Hub Sittingbourne -  The Swale Labdoo Hub,0,0,0,United Kingdom,inactive,0,0,0,0,0.7342319,51.3397366
234,Germany | Wismar | Labdoo Annahmestelle 23968 Wismar - Wendorf,0,0,0,Germany,open,0,0,14,0,11.4647932,53.8909832
235,United States | New York | Labdoo Hub Soho  - New York,0,0,0,United States,closed,0,0,3,0,-74.0060152,40.7127281
236,Spain | Sant Cugat del Vallès | Labdoo School Hub Sant Cugat - Aula de So,100,27,73,Spain,open,25,9,64,0,2.0817809,41.4728432
237,Spain | Barcelona | Labdoo Hub Barcelona - Probike,0,0,0,Spain,closed,0,1,4,0,2.177073,41.3825802
238,Switzerland | Winterthur | GESCHLOSSEN: Annahmestelle 8404 Winterthur (ZH),0,0,0,Switzerland,closed,0,0,0,0,8.7291498,47.4991723
239,Spain | Esplugues de Llobregat | Labdoo Hub - Esplugues de Llobregat,0,0,0,Spain,open,0,0,9,0,2.0899722,41.3776796
240,Kenya | Ukunda | Hub Ukunda UJUZI na UFUNDI Vocational Training Institute in Cooperation with Humanitas activa,104,4,96,Kenya,closed,52,0,100,0,39.571219,-4.29451
241,Georgia | Tblisi | Tblisi,0,0,0,Georgia,inactive,0,0,0,0,44.8014495,41.6934591
242,Switzerland | Laax | Annahmestelle 7031 Laax (GR),0,0,0,Switzerland,open,0,0,0,0,9.2581267,46.806412
243,Spain | Vilafr | Labdoo City Hub Vilafranca del Penedès - La Nau,8,0,100,Spain,open,4,21,52,0,0.0,0.0
244,Germany | Leipzig | Labdoo Annahmestelle 04229 Leipzig: DATA REVERSE,0,0,0,Germany,open,0,4,69,0,12.3747329,51.3406321
245,Switzerland | Widnau | Annahmestelle 9443 Widnau (SG),0,0,0,Switzerland,open,0,0,0,0,9.6356294,47.4053426
246,Spain | Tarragona | URV-MongolRally-GoCharlieGo,17,0,100,Spain,open,17,3,49,0,1.2546057,41.1172364
247,Spain | Girona | Labdoo Hub Girona @ Gimnàs Escola Avança,0,0,0,Spain,closed,0,0,17,0,2.8199439,41.9793006
248,Spain | Barcelona | Labdoo Hub Casa Orlandai,0,0,0,Spain,open,0,3,114,0,2.177073,41.3825802
249,Germany | Hamburg | Labdoo Annahmestelle 20146 Hamburg - Rotherbaum: Daniel Heydebreck am DKRZ [selten geöffnet],0,0,0,Germany,open,0,3,69,0,10.0013165,53.5501721
250,Spain | Madrid | Labdoo Hub Madrid - IES Clara del Rey,31,0,100,Spain,closed,16,0,32,0,-3.703507,40.416782
251,Switzerland | Berikon | Annahmestelle 8965 Berikon (AG),0,0,0,Switzerland,open,0,0,0,0,8.3701013,47.3528355
252,Switzerland | Trogen | Annahmestelle 9043 Trogen (AR),0,0,0,Switzerland,open,0,0,0,0,9.4650591,47.4079877
253,Spain | Sant Cugat del Vallès | Labdoo City Hub Sant Cugat - Ambiteca ,40,36,10,Spain,open,20,3,1,16,2.0817809,41.4728432
254,Spain | Sant Cugat del Vallès | Labdoo School Hub Sant Cugat - Escola Santa Isabel ,0,0,0,Spain,open,0,0,1,0,2.0817809,41.4728432
255,Spain | Barcelona | Labdoo Hub AUCOOP UPC,107,25,76,Spain,open,48,31,51,0,2.177073,41.3825802
256,India | New Delhi | Labdoo Hub New Delhi,15,13,13,India,open,15,0,2,13,77.2090057,28.6138954
257,Finland | Espoo | Labdoo Hub Espoo,0,0,0,Finland,open,0,0,0,0,24.6559808,60.2049651
258,Belgium | Leuven | Labdoo Hub Leuven,63,56,11,Belgium,open,63,0,7,56,4.7011675,50.879202
259,Switzerland | Frick | GESCHLOSSEN: Annahmestelle 5070 Frick (AG),0,0,0,Switzerland,closed,0,0,0,0,8.0203065,47.5075081
260,Germany | Bielefeld | Labdoo Annahmestelle 33609 Bielefeld: SeedCom Ltd,0,0,0,Germany,open,0,0,75,0,8.531007,52.0191005
261,Switzerland | Neudorf | GESCHLOSSEN: Annahmestelle 6025 Neudorf (LU),0,0,0,Switzerland,closed,0,0,0,0,7.5696755,47.6054816
262,Spain | sant cugat del valles | Explorium,0,0,0,Spain,closed,0,0,0,0,2.0817809,41.4728432
263,Spain | Sant Cugat del Vallès | Labdoo City Hub Sant Cugat del Vallès - Biblioteca Mira-sol Marta Pessarrodona ,0,0,0,Spain,open,0,3,9,0,2.0817809,41.4728432
264,"Spain | Sant Cugat del Vallès | Labdoo City Hub Sant Cugat del Vallès - Biblioteca Miquel Batllori, Volpelleres.",0,0,0,Spain,open,0,1,1,0,2.0817809,41.4728432
265,Switzerland | Bern | GESCHLOSSEN: Annahmestelle 3007 Bern (BE),0,0,0,Switzerland,inactive,0,0,0,0,7.4521749,46.9484742
266,Switzerland | Lumino | GESCHLOSSEN: Annahmestelle 6533 Lumino (TI),0,0,0,Switzerland,closed,0,0,0,0,9.0672648,46.2318743
267,Spain | Tarragona | Punt de recollida Labdoo- CRAI URV Campus Catalunya (Tarragona),0,0,0,Spain,open,0,0,10,0,1.2546057,41.1172364
268,Spain | Barcelona | Labdoo School Hub  Barcelona -  Aula 19 Centre de Formació,30,8,73,Spain,open,30,16,6,8,2.177073,41.3825802
269,Spain | Tarragona | Punt de recollida Labdoo- CRAI URV Campus Sescelades (Tarragona),4,0,100,Spain,open,2,22,16,0,1.2546057,41.1172364
270,Spain | Tarragona | Hub Universitat Rovira i Virgili (URV),46,22,52,Spain,open,33,10,14,9,1.2546057,41.1172364
271,Spain | Tortosa | Punt de recollida Labdoo- CRAI URV Campus Terres de l’Ebre (Tortosa),0,0,0,Spain,open,0,0,0,0,0.5209333,40.8110158
272,Spain | Coma-ruga | Punt de recollida Labdoo- CRAI URV Campus Baix Penedès (Vendrell),0,0,0,Spain,open,0,0,0,0,1.5230383,41.181593
273,Spain | Reus | Punt de recollida Labdoo- CRAI URV Campus Bellissens (Reus),0,0,0,Spain,open,0,0,0,0,1.1076133,41.1555564
274,Spain | Reus | Punt de recollida Labdoo- CRAI URV Campus Medicina (Reus),0,0,0,Spain,open,0,0,0,0,1.1076133,41.1555564
275,Spain | Tarragona | Punt de recollida Labdoo- URV Solidària (Tarragona),81,21,74,Spain,open,66,26,34,6,1.2546057,41.1172364
276,Spain | Vila-seca | Punt de recollida Labdoo- CRAI URV Campus Vila-seca,0,0,0,Spain,open,0,0,0,0,1.144961,41.1109268
277,Spain | Barcelona | Labdoo Hub Barcelona - Foundawtion,90,0,100,Spain,open,60,0,194,0,2.177073,41.3825802
278,Germany | Schwerin | Labdoo Annahmestelle 19055 Schwerin: Computer Studio GmbH Mecklenburg,0,0,0,Germany,open,0,0,0,0,11.4148038,53.6288297
279,Spain | Sant Cugat del Vallès | Labdoo School Hub Sant Cugat - Institut Angeleta Ferrer i Sensat,52,17,67,Spain,open,36,1,34,1,2.0817809,41.4728432
280,Spain | Sant Cugat del Vallès | Labdoo School Hub Sant Cugat - Institut FP Sant Cugat,10,0,100,Spain,open,5,62,187,0,2.0817809,41.4728432
281,Germany | Köln | Labdoo Annahmestelle 50737 Köln: KABRO Motorradtechnik,0,0,0,Germany,open,0,0,31,0,6.959974,50.938361
282,Germany | Frankfurt am Main | Labdoo Annahmestelle 60489 Frankfurt am Main (Rödelheim): Chris Neygandhi,0,0,0,Germany,open,0,1,29,0,8.6820917,50.1106444
283,Spain | Terrassa | Labdoo Hub Terrassa - Paisalanes,89,19,78,Spain,open,81,13,57,11,2.0100492,41.5629623
284,Spain | Barcelona | Labdoo Hub - Acollida de persones refugiades a Catalunya (COVID-19-CAT),92,15,83,Spain,inactive,69,11,66,0,2.177073,41.3825802
285,Spain | Sant Cugat del Vallès | Labdoo School Hub Sant Cugat - Escola Pi d'en Xandri ,0,0,0,Spain,open,0,0,2,0,2.0817809,41.4728432
286,Germany | Schlangenbad | Labdoo Annahmestelle 65388 Schlangenbad: Carola Bill,0,0,0,Germany,open,0,1,19,0,8.04375,50.09487
287,Germany | Windeck | Labdoo Annahmestelle 51570 Rhein-Sieg-Oberberg: Sascha Mantscheff (Hub),0,0,0,Germany,open,0,0,3,0,7.5746042,50.7977107
288,United States | Brea | Labdoo Hub CEWS (Corporate eWaste Solutions),10,0,100,United States,open,10,4,62,0,-117.888855,33.9170444
289,Germany | Schwerin | Labdoo Annahmestelle 19053 Schwerin: Perfectum Computersysteme,0,0,0,Germany,open,0,0,13,0,11.4148038,53.6288297
290,Spain | Banyoles | Banyoles City Hub,34,0,100,Spain,open,21,1,63,0,2.7653607,42.1180477
291,Germany | Kaulsdorf | Labdoo Annahmestelle 07338 Kaulsdorf: Axel Brümmer,689,276,59,Germany,open,502,2,411,89,11.4308881,50.6209074
292,United States | Miami  | Labdoo Hub Miami,222,148,33,United States,open,152,2,72,78,-80.1935973,25.7741566
293,Spain | Cornellà del Llobregat | Labdoo School Hub Cornellà - Fundació El Llindar,1,0,100,Spain,open,0,7,52,0,2.0723373,41.3484792
294,Spain | Sant Cugat del Vallès | Labdoo  School Hub Sant Cugat - PFI-PTT Sant Cugat del Vallès ,0,0,0,Spain,open,0,0,0,0,2.0817809,41.4728432
295,Germany | Stadt Wehlen | Labdoo Annahmestelle 01829 Stadt Wehlen: Michael Klix,4,0,100,Germany,open,4,0,16,0,14.0307534,50.957091
296,Spain | Málaga | Labdoo Hub Malaga - Asociación Chavorrillos Asperones UMA,100,19,81,Spain,open,100,66,15,19,-4.4216366,36.7213028
297,Spain | Valencia | Labdoo Hub Valencia - Barrio Patraix,0,0,0,Spain,open,0,0,0,0,-0.3763353,39.4697065
298,Spain | Valencia | Labdoo Hub Valencia cg,0,0,0,Spain,open,0,0,0,0,-0.3763353,39.4697065
299,Spain | NARON | Narón - La Coruña ,0,0,0,Spain,open,0,0,0,0,-8.1923091,43.5010981
300,Spain | Finestrat | Labdoo Hub - Finestrat - Sally Farrera,0,0,0,Spain,open,0,0,0,0,-0.2122319,38.5679236
301,Spain | San Pedro Alcántara (Marbella) | San Pedro Alcántara ,0,0,0,Spain,open,0,0,0,0,-4.990532,36.486635
302,Spain | Valencia | Labdoo Hub Valencia - costa,0,0,0,Spain,open,0,0,0,0,-0.3763353,39.4697065
303,Spain | Naron | Narón - La Coruña  ,0,0,0,Spain,open,0,0,0,0,-8.1923091,43.5010981
304,Spain | Finestrat | Finestrat,0,0,0,Spain,open,0,0,0,0,-0.2122319,38.5679236
305,Spain | Banyoles | Institut Pere Alsius,0,0,0,Spain,open,0,1,43,0,2.7653607,42.1180477
306,Spain | Banyoles | Punt Òmnia de Banyoles,0,0,0,Spain,open,0,0,1,0,2.7653607,42.1180477
307,Germany | Hamburg | Labdoo Annahmestelle 22607 Hamburg - Groß Flottbek: Jacques Weindepot,0,0,0,Germany,open,0,0,0,0,10.0013165,53.5501721
308,Germany | Bremen | Labdoo Annahmestelle 28203 Bremen: Helmut R Werner,0,0,0,Germany,open,0,2,9,0,8.8071646,53.0758196
309,Spain | La Eliana | Labdoo Hub La Eliana - València,0,0,0,Spain,open,0,0,0,0,-0.5302784,39.5659086
310,Germany | Wetter (Ruhr) | Labdoo Annahmestelle 58300 Volmarstein: Berufsbildungswerk Volmarstein,1,0,100,Germany,open,1,2,17,0,7.3951553,51.3879463
311,Spain | Banyoles | Banyoles - Oficina Jove Cal Drac,0,0,0,Spain,open,0,0,3,0,2.7653607,42.1180477
312,Spain | Banyoles | Institut Josep Brugulat,0,0,0,Spain,open,0,0,0,0,2.7653607,42.1180477
313,Spain | Banyoles | Institut Pla de l'Estany,0,0,0,Spain,open,0,0,2,0,2.7653607,42.1180477
314,Germany | Düsseldorf | Labdoo Annahmestelle 40223 Düsseldorf - Bilk / Südring: Jacques Weindepot,0,0,0,Germany,open,0,2,95,0,6.7763137,51.2254018
315,Spain | Manresa | Labdoo Hub Manresa - Xup Wadea,0,0,0,Spain,open,0,0,0,0,1.8286765,41.7288939
316,Spain | Salamanca | Salamanca,0,0,0,Spain,inactive,0,0,0,0,-5.6640182,40.9651572
317,"Spain | Llinars del Vallès | City Hub Llinars del Vallès, Can Lletres",70,51,27,Spain,open,70,14,5,51,2.4025704,41.641913
318,Spain | Cercs | Labdoo Hub Cercs ,0,0,0,Spain,open,0,0,0,0,1.8606233,42.1463987
319,Germany | Messel | Labdoo Annahmestelle 64409 Messel: SOCIALARTS E.V. & PROJEKTFABRIK gGmbH,0,0,0,Germany,open,0,0,8,0,8.7449232,49.9369643
320,Spain | Borreda | Labdoo hub Borredà,0,0,0,Spain,open,0,0,0,0,1.9941054,42.1355536
321,Spain | Manresa | Labdoo Hub Manresa - Aliehs,0,0,0,Spain,open,0,0,0,0,1.8286765,41.7288939
322,Spain | Llinars del Vallès | Labdoo City Hub Llinars del Vallès - Biblioteca Can Casas,0,0,0,Spain,open,0,0,0,0,2.4025704,41.641913
323,Spain | Llinars del Vallès | Labdoo Hub Llinars del Vallès - Escola Ginebró,0,0,0,Spain,open,0,0,0,0,2.4025704,41.641913
324,Spain | Barcelona | Labdoo Hub Centre Ocupacional Taller Sant Camil,0,0,0,Spain,open,0,35,25,0,2.177073,41.3825802
325,Spain | Madrid | Labdoo Hub Madrid Futuro,490,86,82,Spain,inactive,490,0,404,86,-3.703507,40.416782
326,Spain | Granollers | Labdoo City Hub Granollers,138,105,23,Spain,closed,138,0,33,105,2.2876008,41.6079555
327,Germany | Ulm | Labdoo Annahmestelle 89073 Ulm: Ulmer Weltladen,0,0,0,Germany,open,0,5,93,0,9.9912458,48.3984968
328,Germany | Neubrunn-Böttigheim | Labdoo Annahmestelle 97277 Main-Tauber: Sambia e.V. Neubrunn-Böttigheim,21,0,100,Germany,open,21,13,82,0,9.6536872,49.7044899
329,Germany | Gießen  | Labdoo Annahmestelle 35396 Gießen: IG Metall Geschäftsstelle Mittelhessen ,0,0,0,Germany,open,0,4,34,0,8.6938161,50.5808795
330,Spain | Mataró | Labdoo School Hub Mataró - Institut Damià Campeny,0,0,0,Spain,open,0,0,0,0,2.4448926,41.5398348
331,Switzerland | Gretzenbach | GESCHLOSSEN: Annahmestelle 5014 Gretzenbach (SO),0,0,0,Switzerland,closed,0,0,0,0,7.9998602,47.3551613
332,Spain | Madrid | Labdoo Hub Madrid - Universidad Complutense ,64,40,37,Spain,inactive,28,0,24,4,-3.703507,40.416782
333,Germany | Köln | Labdoo Annahmestelle 50678 Köln: Railslove GmbH,0,0,0,Germany,open,0,0,14,0,6.959974,50.938361
334,Spain | Sabadell | Labdoo Hub Sabadell,489,225,53,Spain,open,456,53,211,192,2.1083214,41.5460801
335,Germany | Bonn | Labdoo Annahmestelle 53125 Bonn: Björn Wetzel,2,0,100,Germany,open,2,0,5,0,7.1024635,50.7352621
336,Germany | Köln | Labdoo Annahmestelle 50968 Köln: Alexander Artz Kibera Hope Academy gUG,0,0,0,Germany,open,0,1,2,0,6.959974,50.938361
337,Germany | Freudenstadt | Labdoo Annahmestelle 72250 Freudenstadt: AVIA Freudenstadt,0,0,0,Germany,open,0,0,12,0,8.4111727,48.4637727
338,Germany | Freudenstadt | Labdoo Annahmestelle 72250 Freudenstadt: Oest Tankstellen GmbH & Co. KG (Hub),0,0,0,Germany,open,0,1,33,0,8.4111727,48.4637727
339,Germany | Dornhan | Labdoo Annahmestelle 72175 Dornham: AVIA Dornhan,0,0,0,Germany,open,0,0,0,0,8.5078535,48.3502837
340,Germany | Ottenhöfen | Labdoo Annahmestelle 77883 Ottenhöfen: AVIA Ottenhöfen,0,0,0,Germany,open,0,0,0,0,8.1521367,48.5658379
341,Germany | Oberndorf-Aistaig | Labdoo Annahmestelle 78727 Oberndorf: AVIA Oberndorf,0,0,0,Germany,open,0,0,0,0,8.5702667,48.3138235
342,Spain | Mataró | Labdoo City Hub Mataró - Biblioteca Antoni Comas,0,0,0,Spain,open,0,0,0,0,2.4448926,41.5398348
343,Spain | Mataró | Labdoo City Hub Mataró - Biblioteca Pompeu Fabra,0,0,0,Spain,open,0,0,1,0,2.4448926,41.5398348
344,Spain | Girona | Labdoo Hub Girona - OIKIA,21,9,57,Spain,open,21,2,10,9,2.8199439,41.9793006
345,Germany | Unterhaching | Labdoo Annahmestelle 82008 Unterhaching [zur Zeit geschlossen],0,0,0,Germany,closed,0,4,73,0,11.6102245,48.0662249
346,Germany | Schongau | Labdoo Annahmestelle 86956 Schongau,0,0,0,Germany,open,0,0,15,0,10.8972133,47.8118973
347,Germany | München | Labdoo Annahmestelle 81541 München: Giesing,13,0,100,Germany,open,8,0,156,0,11.5753822,48.1371079
348,"Spain | Manresa | Labdoo School Hub - Institut Cal Gravat, Manresa",0,0,0,Spain,open,0,2,0,0,1.8286765,41.7288939
349,Germany | Hamburg | Labdoo Annahmestelle 22999 Hamburg: Winterhude [Hub],1737,708,59,Germany,open,1575,243,786,546,10.0013165,53.5501721
350,Germany | Deutschland | Labdoo.org (Deutschland),21,0,100,Germany,open,7,0,21,0,10.4478313,51.1638175
351,Spain | Sitges | Hub Labdoo Sitges,0,0,0,Spain,open,0,0,0,0,1.8228136,41.2366707
352,Spain | Sant Cugat del Vallès | Punt de Recollida Labdoo - 021 Informàtics,0,0,0,Spain,open,0,0,0,0,2.0817809,41.4728432
353,Spain | Sabadell | Labdoo Hub Sabadell - Clarence House,0,0,0,Spain,open,0,0,2,0,2.1083214,41.5460801
354,South Africa | Northcliff | Labdoo Hub Johannesburg - Jumpstart,0,0,0,South Africa,open,0,0,0,0,27.9622222,-26.1311111
355,Germany | Hamburg | [Inactive] Labdoo Annahmestelle 20099 Hamburg - Sankt Georg [zur Zeit geschlossen],0,0,0,Germany,inactive,0,0,13,0,10.0013165,53.5501721
356,Germany | Schallstadt | Labdoo Annahmestelle 79227 Schallstadt: Simon Mittelstädt,0,0,0,Germany,open,0,0,7,0,7.7496747,47.9568123
357,Spain | Berga | HUB Berga,0,0,0,Spain,open,0,0,0,0,5.3259192,60.3943055
358,Spain | Alcobendas | Labdoo Hub Madrid - Indra,357,55,84,Spain,open,326,24,278,24,-3.6358494,40.5400082
359,Germany | Mülheim an der Ruhr | Zentrale Zustelladresse (Zentrallager Labdoo Deutschland),0,0,0,Germany,open,0,0,0,0,6.8829192,51.4272925
360,United States | Key Biscayne  | Labdoo Hub Key Biscayne ,155,137,11,United States,open,85,1,17,67,-80.1635261,25.6968351
361,United States | North Miami | Labdoo Hub North Miami,0,0,0,United States,open,0,0,6,0,-80.1867138,25.8900949
362,Germany | Hamburg | Labdoo Annahmestelle 22527 Hamburg - Eimsbüttel,0,0,0,Germany,open,0,1,22,0,10.0013165,53.5501721
363,Spain | Mataró | Labdoo Hub Mataró - Sant Pau,0,0,0,Spain,open,0,0,0,0,2.4448926,41.5398348
364,Germany | Berlin | Labdoo Annahmestelle 10999 Berlin: bUm GmbH,0,0,0,Germany,open,0,6,42,0,13.3951309,52.5173885
365,Germany | Dassendorf | Labdoo Annahmestelle 21521 Dassendorf: Durchblick die Lernpraxis,0,0,0,Germany,open,0,5,6,0,10.3749868,53.4900689
366,Spain | Madrid | Facultad de Informática - Universidad Complutense ,55,36,34,Spain,open,28,10,9,9,-3.703507,40.416782
367,Spain | Madrid | Servicios Informáticos/Unidad de Medioambiente,0,0,0,Spain,inactive,0,0,0,0,-3.703507,40.416782
368,Spain | Madrid | Labdoo  Hub Madrid: Oficina OVUS en Facultad de Trabajo Social,0,0,0,Spain,open,0,0,0,0,-3.703507,40.416782
369,Guatemala | guatemala | Labdoo Hub Guatemala - Bibliotecas Comunitarias de Guatemala,0,0,0,Guatemala,open,0,0,0,0,-90.345759,15.5855545
370,France | Paris | Labdoo Hub Paris - 18ème arrondissement,277,271,2,France,open,256,0,6,250,2.3483915,48.8534951
371,Germany | Frankfurt am Main | Labdoo Annahmestelle 60388 Frankfurt Enkheim: Angelika Stryzhych,0,0,0,Germany,open,0,0,11,0,8.6820917,50.1106444
372,Germany | Erkrath | Labdoo Annahmestelle 40699 Erkrath: Abfallberatung Schimmelbuschstraße,0,0,0,Germany,open,0,1,28,0,6.9056079,51.2209866
373,Germany | Erkrath | Labdoo Annahmestelle 40699 Erkrath: Naturschutzzentrum,0,0,0,Germany,open,0,0,0,0,6.9056079,51.2209866
374,Germany | Erkrath | Labdoo Annahmestelle 40699 Erkrath: Wertstoffsammelhof,0,0,0,Germany,open,0,0,1,0,6.9056079,51.2209866
375,Spain | Mollet del Vallès | Labdoo City Hub - Mollet,100,100,0,Spain,open,100,0,0,100,2.2130934,41.5393484
376,Sweden | Stockholm | Labdoo Hub Stockholm,176,168,4,Sweden,open,176,0,8,168,18.0710935,59.3251172
377,Germany | Grevenbroich | Labdoo Annahmestelle 41517 Grevenbroich: Kleinanlieferstelle Neuenhausen,0,0,0,Germany,open,0,0,4,0,6.5848937,51.0862467
378,Spain | Sant Cugat del Vallès | Labdoo Hub - Club Muntanyenc Sant Cugat,0,0,0,Spain,open,0,2,9,0,2.0817809,41.4728432
379,Germany | Stadtallendorf | Labdoo Annahmestelle 35260 Stadtallendorf: Webhummel,0,0,0,Germany,open,0,0,0,0,9.0292315,50.8251982
