iso,lat,lng,type,count,label,info,precision
AUT,48.2084,16.3725,donor,31,Labdoo Hub Wien:  SANI,"Austria hub, 97% completed, 35 needed",exact
ESP,41.3826,2.1771,donor,1086,Labdoo Hub Barcelona @I2CAT Campus Nord,"Spain hub, 70% completed, 1723 needed",exact
DEU,51.5726,8.1061,donor,6,Labdoo Annahmestelle 59494 Soest: Kulturhaus Alter Schlachthof,"Germany hub, 0% completed, 0 needed",exact
DEU,52.5174,13.3951,donor,538,Labdoo Annahmestelle 12103 Berlin-Schöneberg: AfB gGmbH Shop Berlin,"Germany hub, 0% completed, 0 needed",exact
DEU,50.6087,10.6926,donor,2,Labdoo Annahmestelle 98527 Suhl: Frank Hoffmann,"Germany hub, 0% completed, 0 needed",exact
DEU,51.5142,7.4653,donor,15,Labdoo Annahmestelle 44263 Dortmund - Hörde (Phoenixsee),"Germany hub, 0% completed, 0 needed",exact
DEU,51.2254,6.7763,donor,88,Labdoo Annahmestelle 40227 Düsseldorf  (Nähe Hauptbahnhof): Dirk Balzer,"Germany hub, 100% completed, 20 needed",exact
DEU,51.264,7.178,donor,62,Labdoo Annahmestelle 42327 Wuppertal: GEPA - The Fair Trade Company,"Germany hub, 0% completed, 0 needed",exact
DEU,51.4582,7.0158,donor,753,Labdoo Annahmestelle 45139 Essen: AfB gGmbH Shop Essen,"Germany hub, 0% completed, 0 needed",exact
DEU,52.3745,9.7386,donor,209,Labdoo Annahmestelle 30165 Hannover: AfB gGmbH Shop Hannover,"Germany hub, 0% completed, 0 needed",exact
DEU,51.6577,6.6171,donor,29,Labdoo Annahmestelle 46485 Wesel: Stefan Abeln,"Germany hub, 0% completed, 0 needed",exact
DEU,53.7468,13.1115,donor,5,Labdoo Annahmestelle 15366 Neuenhagen bei Berlin: Holger Höing,"Germany hub, 0% completed, 0 needed",exact
DEU,48.9414,8.4076,donor,222,Labdoo Annahmestelle 76275 Ettlingen: AfB gGmbH Shop Ettlingen,"Germany hub, 0% completed, 0 needed",exact
DEU,51.4273,6.8829,donor,36,Labdoo Annahmestelle 45473 Mülheim an der Ruhr: VHS Volkshochschule,"Germany hub, 0% completed, 0 needed",exact
DEU,53.5502,10.0013,donor,261,Labdoo Annahmestelle 21035 Hamburg - Bergedorf:  PC112 PCFeuerwehr GmbH [nach Absprache geöffnet],"Germany hub, 86% completed, 303 needed",exact
DEU,53.5502,10.0013,donor,55,Labdoo Annahmestelle 22761 Hamburg - Bahrenfeld,"Germany hub, 0% completed, 0 needed",exact
DEU,49.4539,11.0773,donor,67,Labdoo Annahmestelle 90427 Nürnberg: Raphael Seebröker,"Germany hub, 100% completed, 70 needed",exact
AUT,48.5166,13.8733,donor,0,Annahmestelle Putzleinsdorf: Judith Fuchs,"Austria hub, 0% completed, 0 needed",exact
AUT,48.2084,16.3725,donor,1,Annahmestelle Wien Liesing (23. Bezirk): AfB Shop,"Austria hub, 0% completed, 0 needed",exact
DEU,50.7353,7.1025,donor,981,Labdoo Annahmestelle 53173 Bonn: Ulrich Egger (Hub),"Germany hub, 80% completed, 1291 needed",exact
DEU,50.8032,6.4821,donor,335,Labdoo Annahmestelle 52353 Düren: AfB gGmbH Shop Düren,"Germany hub, 0% completed, 0 needed",exact
DEU,50.9384,6.96,donor,107,Labdoo Annahmestelle 51103 Köln: AfB gGmbH Store Köln,"Germany hub, 0% completed, 0 needed",exact
CHE,46.9878,7.386,donor,0,Annahmestelle 3043 Uettligen (BE),"Switzerland hub, 0% completed, 0 needed",exact
CHE,46.1003,7.7824,donor,3,Annahmestelle 3928 Randa (VS),"Switzerland hub, 0% completed, 0 needed",exact
CHE,46.2913,7.8812,donor,0,GESCHLOSSEN: Annahmestelle 3930 Visp (VS),"Switzerland hub, 0% completed, 0 needed",exact
CHE,47.4993,7.5575,donor,0,GESCHLOSSEN: Annahmestelle 4106 Therwil (BL),"Switzerland hub, 0% completed, 0 needed",exact
CHE,47.4122,8.2302,donor,0,Annahmestelle 5506 Mägenwil (AG),"Switzerland hub, 0% completed, 0 needed",exact
CHE,47.1215,7.9966,donor,0,Annahmestelle 6130 Willisau (LU),"Switzerland hub, 0% completed, 0 needed",exact
CHE,47.4318,8.468,donor,0,GESCHLOSSEN: Annahmestelle 8105 Regensdorf (ZH),"Switzerland hub, 0% completed, 0 needed",exact
CHE,47.4166,8.592,donor,0,GESCHLOSSEN: Annahmestelle 8304 Wallisellen (ZH),"Switzerland hub, 0% completed, 0 needed",exact
CHE,47.3899,8.6905,donor,0,GESCHLOSSEN: Annahmestelle 8604 Volketswil (ZH),"Switzerland hub, 0% completed, 0 needed",exact
CHE,47.0598,8.8035,donor,0,Annahmestelle 8842 Unteriberg (SZ),"Switzerland hub, 0% completed, 0 needed",exact
CHE,47.3339,8.3844,donor,0,Annahmestelle 8966 Oberwil-Lieli (AG),"Switzerland hub, 0% completed, 0 needed",exact
CHE,47.4256,9.3762,donor,0,Annahmestelle 9001 St. Gallen (SG),"Switzerland hub, 0% completed, 0 needed",exact
CHE,47.6464,9.1726,donor,0,Annahmestelle 8280 Kreuzlingen (TG),"Switzerland hub, 0% completed, 0 needed",exact
CHE,47.1402,7.2439,donor,0,Annahmestelle 2500 Biel/Bienne (BE),"Switzerland hub, 0% completed, 0 needed",exact
USA,33.6857,-117.826,donor,95,Labdoo Hub California @PeopleSpace,"United States hub, 0% completed, 0 needed",exact
DEU,51.4696,6.8514,donor,36,Labdoo Annahmestelle 46117 Oberhausen: Ajdin Halilovic,"Germany hub, 0% completed, 0 needed",exact
ESP,41.4599,2.0505,donor,0,Labdoo Hub Casal d'Avis de Valldoreix,"Spain hub, 0% completed, 0 needed",exact
AUT,47.7981,13.0465,donor,0,Annahmestelle Salzburg: Amref Austria,"Austria hub, 0% completed, 0 needed",exact
AUT,47.0709,15.4383,donor,5,Annahmestelle Graz Zentrum,"Austria hub, 0% completed, 0 needed",exact
AUT,47.7791,13.0409,donor,0,Annahmestelle Salzburg-Gneis: Weltladen Salzburg-Gneis,"Austria hub, 0% completed, 0 needed",exact
AUT,47.9568,13.1978,donor,0,Annahmestelle Köstendorf: EZA Fairer Handel,"Austria hub, 0% completed, 0 needed",exact
AUT,47.7981,13.0465,donor,21,Annahmestelle Salzburg: Pfarre Maria-Hilf in Leopoldskron-Moos,"Austria hub, 0% completed, 0 needed",exact
AUT,47.2834,11.4298,donor,5,Annahmestelle Innsbruck:  Mittelschule Olympisches Dorf,"Austria hub, 0% completed, 0 needed",exact
CHE,47.1755,8.8987,donor,0,GESCHLOSSEN: Annahmestelle 8854 Siebnen (SZ),"Switzerland hub, 0% completed, 0 needed",exact
DEU,51.435,6.7596,donor,25,AB Druck & Versand GmbH,"Germany hub, 0% completed, 0 needed",exact
ESP,41.3599,2.0998,donor,0,Labdoo School Hub Barcelona - Institut Pedraforca,"Spain hub, 0% completed, 0 needed",exact
ESP,41.5916,2.2422,donor,25,Labdoo Hub Lliçà de Vall - Obra Tutelar Agraria (OTA),"Spain hub, 100% completed, 24 needed",exact
CHE,46.9412,8.2737,donor,0,Annahmestelle 6055 Alpnach (OW),"Switzerland hub, 0% completed, 0 needed",exact
DEU,50.9929,7.1277,donor,60,Labdoo Annahmestelle 51429 Bergisch Gladbach: Frank Dietz (Freifunk),"Germany hub, 100% completed, 45 needed",exact
COL,40.9224,-1.4997,donor,82,Labdoo Hub Medellín / Divergente,"Colombia hub, 67% completed, 134 needed",exact
CHE,47.3187,7.6698,donor,0,GESCHLOSSEN: Annahmestelle 4500 Solothurn (SO),"Switzerland hub, 0% completed, 0 needed",exact
DEU,48.1371,11.5754,donor,174,Labdoo Annahmestelle 80335 München: Kinder- und Jugendmuseum München [zur Zeit nicht aktiv],"Germany hub, 0% completed, 0 needed",exact
DEU,50.2001,9.14,donor,12,Labdoo Annahmestelle 63584 Gründau-Lieblos: Malteser Hilfsdienst Kreisgeschäftsstelle Main-Kinzig-Kreis,"Germany hub, 0% completed, 0 needed",exact
DEU,51.5142,7.4653,donor,57,Labdoo Annahmestelle 44263 Dortmund (Hub),"Germany hub, 100% completed, 57 needed",exact
DEU,48.248,11.8773,donor,16,Labdoo Annahmestelle 85457 Hofsingelding: Anna Maria Blau (ADIA Erding e.V.),"Germany hub, 0% completed, 0 needed",exact
DEU,50.5542,9.677,donor,4,Labdoo Annahmestelle 36039 Fulda: Malteser Hilfsdienst Diözesangeschäftsstelle,"Germany hub, 0% completed, 0 needed",exact
DEU,50.0949,8.4229,donor,672,Labdoo Annahmestelle 65719 Hofheim am Taunus: Tobias Schmidtke,"Germany hub, 100% completed, 65 needed",exact
LUX,49.8159,6.1297,donor,0,EuropaHub Lux,"Luxembourg hub, 0% completed, 0 needed",exact
ARE,25.0743,55.1885,donor,0,Labdoo Hub Dubai - World Trade Center,"United Arab Emirates hub, 0% completed, 0 needed",exact
CHE,47.4051,8.4031,donor,0,Annahmestelle 8953 Dietikon (ZH),"Switzerland hub, 0% completed, 0 needed",exact
CHE,47.2413,8.7349,donor,0,Annahmestelle 8712 Stäfa (ZH),"Switzerland hub, 0% completed, 0 needed",exact
CHE,47.3497,7.9038,donor,0,GESCHLOSSEN: Annahmestelle 4600 Olten (SO),"Switzerland hub, 0% completed, 0 needed",exact
ESP,41.3464,1.6995,donor,17,Labdoo City Hub Vilafranca del Penedes - Escorxador,"Spain hub, 100% completed, 3 needed",exact
ESP,41.6849,2.2866,donor,0,Labdoo Hub La Garriga - eXplorium,"Spain hub, 0% completed, 0 needed",exact
ESP,41.3826,2.1771,donor,26,Labdoo Hub Barcelona BaseTIS,"Spain hub, 100% completed, 10 needed",exact
CHE,46.9485,7.4522,donor,0,GESCHLOSSEN: Annahmestelle 3027 Bern (BE),"Switzerland hub, 0% completed, 0 needed",exact
ESP,60.3943,5.3259,donor,0,Labdoo Hub Berga - Inforber,"Spain hub, 0% completed, 0 needed",exact
ESP,41.7289,1.8287,donor,0,Labdoo Hub Manresa - Inforber,"Spain hub, 0% completed, 0 needed",exact
DEU,51.2254,6.7763,donor,742,Labdoo Annahmestelle 40233 Düsseldorf - Flingern: AWISTA Kommunal Recyclinghof Flingern,"Germany hub, 0% completed, 0 needed",exact
ESP,39.4697,-0.3763,donor,11,Labdoo Hub Valencia - Antiguos Alumnos UPV,"Spain hub, 0% completed, 0 needed",exact
DEU,52.3716,12.9329,donor,45,Labdoo Annahmestelle 14542 Werder: Jürgen Weinreich,"Germany hub, 100% completed, 13 needed",exact
CHE,48.3658,7.293,donor,0,Annahmestelle 4226 Breitenbach (SO),"Switzerland hub, 0% completed, 0 needed",exact
USA,42.2586,-87.8407,donor,48,TechAnnex,"United States hub, 100% completed, 3 needed",exact
DEU,51.435,6.7596,donor,42,Labdoo Annahmestelle 47167 Duisburg Röttgersbach: Recyclingzentrum Nord Wirtschaftsbetriebe Duisburg,"Germany hub, 0% completed, 0 needed",exact
DEU,51.435,6.7596,donor,19,Labdoo Annahmestelle 47053 Duisburg Hochfeld: Recyclinghof Mitte Wirtschaftsbetriebe Duisburg / R(h)einladen,"Germany hub, 0% completed, 0 needed",exact
DEU,51.435,6.7596,donor,402,Labdoo Annahmestelle 47059 Duisburg - Innenhafen: Wirtschaftsbetriebe Duisburg (H2Office),"Germany hub, 0% completed, 0 needed",exact
ESP,41.608,2.2876,donor,20,Labdoo Hub Granollers - Educem,"Spain hub, 100% completed, 12 needed",exact
GRC,33.9598,-83.3764,donor,0,Labdoo Hub Athens,"Greece hub, 0% completed, 5 needed",exact
USA,34.0554,-117.7517,donor,9,"Labdoo Hub California Polytechnic State University, Pomona","United States hub, 0% completed, 0 needed",exact
ESP,41.3464,1.6995,donor,3,Labdoo School Hub Vilafranca - Col·legi Sant Josep,"Spain hub, 100% completed, 3 needed",exact
DOM,18.4937,-69.8384,donor,0,Labdoo Hub Santo Domingo (Dominican Republic),"Dominican Republic hub, 0% completed, 0 needed",exact
NZL,-36.8521,174.7632,donor,184,Labdoo Hub Auckland,"New Zealand hub, 75% completed, 288 needed",exact
NLD,52.3731,4.8925,donor,0,Labdoo Hub Amsterdam,"Netherlands hub, 0% completed, 0 needed",exact
ESP,41.3464,1.6995,donor,32,Labdoo City Hub Vilafranca del Penedes - Biblioteca Torras i Bages,"Spain hub, 0% completed, 0 needed",exact
CHE,47.3927,8.0444,donor,0,GESCHLOSSEN: Annahmestelle 5000 Aarau (AG),"Switzerland hub, 0% completed, 0 needed",exact
CHE,47.4309,8.5589,donor,0,GESCHLOSSEN: Annahmestelle 8152 Glattbrugg (ZH),"Switzerland hub, 0% completed, 0 needed",exact
HKG,22.2793,114.1629,donor,22,Labdoo Hub Hong Kong - Central,"Hong Kong S.A.R., China hub, 53% completed, 45 needed",exact
DEU,51.1982,6.6916,donor,15,Neukirchener Erziehungsverein,"Germany hub, 0% completed, 0 needed",exact
DEU,51.4414,6.5468,donor,1,Labdoo Annahmestelle 47506 Neukirchen-Vluyn: Neukirchener Erziehungsverein,"Germany hub, 0% completed, 0 needed",exact
CHE,46.8895,7.311,donor,0,GESCHLOSSEN: Annahmestelle 3175 Flamatt (FR),"Switzerland hub, 0% completed, 0 needed",exact
AUT,46.6239,14.3076,donor,0,Annahmestelle AfB Klagenfurt,"Austria hub, 0% completed, 0 needed",exact
USA,37.3362,-121.8906,donor,0,Labdoo Hub Melody Semiconductors,"United States hub, 0% completed, 0 needed",exact
USA,37.4443,-122.1598,donor,9,Labdoo Hub-Palo Alto,"United States hub, 0% completed, 0 needed",exact
ESP,41.3826,2.1771,donor,14,Labdoo Hub - Associació Catalana d’Enginyers de Telecomunicació,"Spain hub, 0% completed, 0 needed",exact
DEU,50.0172,8.7843,donor,9,Labdoo Annahmestelle 63128 Dietzenbach: Amira Bieber,"Germany hub, 0% completed, 0 needed",exact
DEU,49.3424,8.6595,donor,338,Labdoo Annahmestelle 69207 Sandhausen / Rhein-Neckar: Heinrich Wegener (Hub),"Germany hub, 100% completed, 129 needed",exact
AUT,0.0,0.0,donor,6,Annahmestelle Rossmann,"Austria hub, 0% completed, 0 needed",exact
ESP,41.4536,1.7017,donor,0,Labdoo City Hub Sant Pere de Riudebitlles - Biblioteca Maria Àngels Torrents,"Spain hub, 0% completed, 0 needed",exact
ESP,41.4628,1.6652,donor,0,Labdoo City Hub Sant Quintí de Mediona - Biblioteca Joan Sardà i Lloret,"Spain hub, 0% completed, 0 needed",exact
ESP,41.4245,1.7864,donor,0,Labdoo City Hub Sant Sadurní d’Anoia - Biblioteca Ramon Bosch de Noya,"Spain hub, 0% completed, 0 needed",exact
ESP,41.3213,1.6624,donor,16,Labdoo City Hub Santa Margarida i els Monjos - Biblioteca Santa Margarida i els Monjos,"Spain hub, 0% completed, 0 needed",exact
ESP,41.2619,1.7721,donor,4,Labdoo City Hub Sant Pere de Ribes - Biblioteca Manuel de Pedrolo,"Spain hub, 0% completed, 0 needed",exact
ESP,41.2619,1.7721,donor,3,Labdoo City Hub Sant Pere de Ribes - Biblioteca Josep Pla,"Spain hub, 0% completed, 0 needed",exact
ESP,41.2367,1.8228,donor,0,Labdoo City Hub Sitges - Biblioteca Santiago Rusiñol,"Spain hub, 0% completed, 0 needed",exact
ESP,41.2367,1.8228,donor,2,Labdoo City Hub Sitges - Biblioteca Josep Roig i Raventós,"Spain hub, 0% completed, 0 needed",exact
ESP,41.2242,1.7256,donor,2,Labdoo City Hub Vilanova i la Geltrú - Biblioteca Joan Oliva i Milà,"Spain hub, 0% completed, 0 needed",exact
ESP,41.2242,1.7256,donor,4,Labdoo City Hub Vilanova i la Geltrú - Biblioteca Armand Cardona Torrandell,"Spain hub, 0% completed, 0 needed",exact
ESP,41.3464,1.6995,donor,0,Labdoo Mobile Hub Vilafranca del Penedes - BIBLIOBUS CASTELLOT,"Spain hub, 0% completed, 0 needed",exact
ESP,41.3464,1.6995,donor,0,Labdoo Mobile Hub Vilafranca del Penedes - BIBLIOBUS MONTAU,"Spain hub, 0% completed, 0 needed",exact
AUT,48.2044,15.6229,donor,15,"EVI  Naturkost, Laptopsammelstelle und Restaurant","Austria hub, 0% completed, 0 needed",exact
AUT,47.2922,9.6535,donor,0,Labdoo Hub Vorarlberg,"Austria hub, 0% completed, 2 needed",exact
VEN,9.7423,-63.1889,donor,0,Labdoo Hub Venezuela - Maturin,"Venezuela hub, 0% completed, 0 needed",exact
DEU,51.1982,6.6916,donor,29,Labdoo Annahmestelle 41460 Neuss:  SPD Geschäftsstelle Neuss,"Germany hub, 0% completed, 0 needed",exact
DEU,51.1584,8.3744,donor,41,WEISELBERG e.V.,"Germany hub, 66% completed, 63 needed",exact
CHE,47.4256,9.3762,donor,0,"GESCHLOSSEN: Annahmestelle 9001 St. Gallen (SG), Bahnhof","Switzerland hub, 0% completed, 0 needed",exact
CHE,47.671,8.6351,donor,0,GESCHLOSSEN: Annahmestelle 8248 Uhwiesen (ZH),"Switzerland hub, 0% completed, 0 needed",exact
ESP,41.3826,2.1771,donor,87,Escola Monlau,"Spain hub, 100% completed, 30 needed",exact
ESP,42.194,-7.5371,donor,5,Labdoo School Hub Ourense - CIFP A Carballeira-Márcos Valcarcel,"Spain hub, 46% completed, 15 needed",exact
USA,44.0143,-73.1672,donor,0,Middlebury College Laptop Hub,"United States hub, 0% completed, 0 needed",exact
ESP,41.4728,2.0818,donor,1111,Labdoo City Hub Sant Cugat,"Spain hub, 50% completed, 2876 needed",exact
CHE,47.3656,8.782,donor,0,Annahmestelle 8808 Pfäffikon (SZ),"Switzerland hub, 0% completed, 0 needed",exact
GBR,51.752,-1.2578,donor,34,Labdoo Hub Oxford,"United Kingdom hub, 23% completed, 153 needed",exact
USA,33.6857,-117.826,donor,3,WeServe Leadership Program,"United States hub, 10% completed, 30 needed",exact
ESP,40.4168,-3.7035,donor,30,Labdoo School Hub Madrid - IES Arquitecto Ventura Rodríguez,"Spain hub, 100% completed, 16 needed",exact
ESP,38.8782,-6.9701,donor,0,IES Castelar (Badajoz),"Spain hub, 0% completed, 0 needed",exact
CHE,47.3339,8.3844,donor,0,ZENTRALLAGER und Aufbereitungsstelle: 8966 Oberwil-Lieli (AG),"Switzerland hub, 0% completed, 0 needed",exact
GBR,52.3062,-0.1006,donor,0,Labdoo Hub Cambridge,"United Kingdom hub, 0% completed, 0 needed",exact
CHE,47.3683,8.8234,donor,0,Annahmestelle 8335 Hittnau (ZH),"Switzerland hub, 0% completed, 0 needed",exact
ESP,41.2242,1.7256,donor,1,Labdoo School Hub Vilanova - Institut Municipal d'Educació i Treball (IMET),"Spain hub, 0% completed, 0 needed",exact
ESP,43.263,-2.935,donor,0,CIFP Elorrieta Erreka Mari,"Spain hub, 0% completed, 0 needed",exact
ROU,-12.9792,-44.0506,donor,0,Romania Santana Liceul Technologie 'Stefan Hell',"Romania hub, 0% completed, 0 needed",exact
MNG,47.9185,106.9177,donor,31,Labdoo Hub Ulaanbaatar,"Mongolia hub, 56% completed, 55 needed",exact
ESP,41.491,2.1375,donor,0,Labdoo School Hub Cerdanyola - FEDAC,"Spain hub, 0% completed, 0 needed",exact
ESP,31.2715,-95.9953,donor,1,Labdoo Dropping Point Leon España,"Spain hub, 0% completed, 0 needed",exact
